userid,venueid,timestamp
Qotho,Pentos,2020-01-01T00:54:23.0
Drogon,Pentos,2020-01-01T00:54:23.0
Rhaegal,Pentos,2020-01-01T00:54:23.0
Daenerys_Targaryen,Pentos,2020-01-01T00:56:06.0
Jorah_Mormont,The Dothraki Sea,2020-01-01T01:04:43.0
Viserys_Targaryen,The Dothraki Sea,2020-01-01T01:04:43.0
Jhiqui,The Dothraki Sea,2020-01-01T01:04:43.0
Jorah_Mormont,The Dothraki Sea,2020-01-01T02:32:16.0
Viserys_Targaryen,The Dothraki Sea,2020-01-01T02:32:16.0
Rakharo,The Dothraki Sea,2020-01-01T02:32:16.0
Eddard_Stark,The Kingsroad South to King's Landing,2020-01-01T01:24:25.0
Khal_Drogo,Dothraki Camp,2020-01-01T01:25:11.0
Irri,Dothraki Camp,2020-01-01T01:33:36.0
Khal_Drogo,Dothraki Camp,2020-01-01T01:42:02.0
Irri,Dothraki Camp,2020-01-01T02:40:23.0
Jorah_Mormont,Dothraki Camp,2020-01-01T02:42:37.0
Rakharo,Dothraki Camp,2020-01-01T02:42:37.0
Irri,Dothraki Camp,2020-01-01T02:42:37.0
Khal_Drogo,Dothraki Camp,2020-01-01T02:45:29.0
Benjen_Stark,North to the Wall,2020-01-01T01:28:31.0
Rast,North to the Wall,2020-01-01T01:28:31.0
Jon_Snow,The Gift,2020-01-01T01:34:08.0
Tyrion_Lannister,The Gift,2020-01-01T01:34:08.0
Lady,Crossroads Inn,2020-01-01T01:43:53.0
Joffrey_Baratheon,Crossroads Inn,2020-01-01T01:43:53.0
Sandor_Clegane,Crossroads Inn,2020-01-01T01:43:53.0
Ilyn_Payne,Crossroads Inn,2020-01-01T01:43:53.0
Joffrey_Baratheon,Crossroads Inn,2020-01-01T01:46:36.0
Joffrey_Baratheon,Crossroads Inn,2020-01-01T01:52:14.0
Ilyn_Payne,Crossroads Inn,2020-01-01T01:52:14.0
Sandor_Clegane,Crossroads Inn,2020-01-01T01:52:45.0
Lady,Crossroads Inn,2020-01-01T01:53:24.0
Lady,Crossroads Inn,2020-01-01T01:53:50.0
Catelyn_Stark,Crossroads Inn,2020-01-01T03:44:34.0
Rodrik_Cassel,Crossroads Inn,2020-01-01T03:44:34.0
Yoren,Crossroads Inn,2020-01-01T03:44:34.0
Bronn,Crossroads Inn,2020-01-01T03:44:34.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T03:01:24.0
Daenerys_Targaryen,Vaes Dothrak,2020-01-01T03:01:24.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T03:02:20.0
Daenerys_Targaryen,Vaes Dothrak,2020-01-01T03:02:20.0
Doreah,Vaes Dothrak,2020-01-01T03:07:13.0
Doreah,Vaes Dothrak,2020-01-01T03:28:36.0
Daenerys_Targaryen,Vaes Dothrak,2020-01-01T03:28:36.0
Daenerys_Targaryen,Vaes Dothrak,2020-01-01T03:35:41.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T03:35:41.0
Marillion,Eastern Road,2020-01-01T03:58:14.0
Catelyn_Stark,Eastern Road,2020-01-01T03:58:14.0
Jeor_Mormont,Castle Black,2020-01-01T05:49:09.0
Jeor_Mormont,Castle Black,2020-01-01T06:07:36.0
Pypar,Castle Black,2020-01-01T06:07:36.0
Maester_Aemon,Castle Black,2020-01-01T06:07:36.0
Pypar,Castle Black,2020-01-01T06:09:22.0
Ghost,Castle Black,2020-01-01T06:15:37.0
Jeor_Mormont,Castle Black,2020-01-01T06:37:21.0
Othor,Castle Black,2020-01-01T06:37:21.0
Jeor_Mormont,Castle Black,2020-01-01T06:38:50.0
Pypar,Castle Black,2020-01-01T06:49:44.0
Jeor_Mormont,Castle Black,2020-01-01T06:49:44.0
Ghost,Castle Black,2020-01-01T06:50:39.0
Ghost,Castle Black,2020-01-01T06:52:05.0
Othor,Castle Black,2020-01-01T06:52:05.0
Jeor_Mormont,Castle Black,2020-01-01T06:52:05.0
Pypar,Castle Black,2020-01-01T07:05:36.0
Jeor_Mormont,Castle Black,2020-01-01T07:36:46.0
Pypar,Castle Black,2020-01-01T07:38:25.0
Maester_Aemon,Castle Black,2020-01-01T07:44:28.0
Jon_Snow,The Haunted Forest,2020-01-01T06:17:07.0
Ros,Winterfell,2020-01-01T04:02:33.0
Bran_Stark,Winterfell,2020-01-01T04:46:05.0
Bran_Stark,Winterfell,2020-01-01T04:46:16.0
Ros,Winterfell,2020-01-01T05:21:58.0
Osha,Winterfell,2020-01-01T05:47:32.0
Maester_Luwin,Winterfell,2020-01-01T05:47:32.0
Robb_Stark,Winterfell,2020-01-01T06:42:15.0
Maester_Luwin,Winterfell,2020-01-01T06:42:15.0
Grey_Wind,Winterfell,2020-01-01T07:00:08.0
Bran_Stark,Winterfell,2020-01-01T07:00:08.0
Robb_Stark,Winterfell,2020-01-01T07:00:08.0
Bran_Stark,Winterfell,2020-01-01T07:02:10.0
Robb_Stark,Winterfell,2020-01-01T07:02:10.0
Bran_Stark,Winterfell,2020-01-01T07:04:26.0
Osha,Winterfell,2020-01-01T07:04:26.0
Eddard_Stark,King's Landing,2020-01-01T04:05:21.0
Illyrio_Mopatis,King's Landing,2020-01-01T04:06:51.0
Petyr_Baelish,King's Landing,2020-01-01T04:10:24.0
Eddard_Stark,King's Landing,2020-01-01T04:13:09.0
Yoren,King's Landing,2020-01-01T04:13:09.0
Eddard_Stark,King's Landing,2020-01-01T04:13:37.0
Yoren,King's Landing,2020-01-01T04:13:37.0
Eddard_Stark,King's Landing,2020-01-01T04:15:05.0
Royal_Steward,King's Landing,2020-01-01T04:15:05.0
Eddard_Stark,King's Landing,2020-01-01T04:18:40.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T04:18:40.0
Petyr_Baelish,King's Landing,2020-01-01T04:18:40.0
Eddard_Stark,King's Landing,2020-01-01T04:18:49.0
Eddard_Stark,King's Landing,2020-01-01T04:19:47.0
Petyr_Baelish,King's Landing,2020-01-01T04:19:47.0
Eddard_Stark,King's Landing,2020-01-01T04:33:39.0
Eddard_Stark,King's Landing,2020-01-01T04:34:27.0
Petyr_Baelish,King's Landing,2020-01-01T04:34:27.0
Eddard_Stark,King's Landing,2020-01-01T04:37:40.0
Petyr_Baelish,King's Landing,2020-01-01T04:37:40.0
Eddard_Stark,King's Landing,2020-01-01T04:44:02.0
Eddard_Stark,King's Landing,2020-01-01T05:13:05.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T05:13:05.0
Petyr_Baelish,King's Landing,2020-01-01T05:13:05.0
Beric_Dondarrion,King's Landing,2020-01-01T05:13:05.0
Joss,King's Landing,2020-01-01T05:13:05.0
Sansa_Stark,King's Landing,2020-01-01T05:20:25.0
Eddard_Stark,King's Landing,2020-01-01T05:24:25.0
Sansa_Stark,King's Landing,2020-01-01T05:24:25.0
Eddard_Stark,King's Landing,2020-01-01T05:38:46.0
Petyr_Baelish,King's Landing,2020-01-01T05:43:50.0
Eddard_Stark,King's Landing,2020-01-01T05:49:23.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T05:54:18.0
Eddard_Stark,King's Landing,2020-01-01T05:54:18.0
Barristan_Selmy,King's Landing,2020-01-01T05:54:18.0
Eddard_Stark,King's Landing,2020-01-01T05:55:55.0
Barristan_Selmy,King's Landing,2020-01-01T05:55:55.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T05:55:55.0
Eddard_Stark,King's Landing,2020-01-01T06:11:29.0
Eddard_Stark,King's Landing,2020-01-01T06:14:59.0
Tomard,King's Landing,2020-01-01T06:14:59.0
Petyr_Baelish,King's Landing,2020-01-01T06:14:59.0
Eddard_Stark,King's Landing,2020-01-01T06:21:27.0
Royal_Steward,King's Landing,2020-01-01T06:21:27.0
Eddard_Stark,King's Landing,2020-01-01T06:22:08.0
Petyr_Baelish,King's Landing,2020-01-01T06:22:08.0
